Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 Friend Like Me - Aladdin OST	118.81	Expert+	2.95★	323	0.00001	0.0012		
 That Person's Name Is / Boss Battle - Bravely Default	118.81	Expert	2.98★	324	0.00001	0.0012		
 Toca - Carnage feat Timmy Trumpet & KSHMR	118.77	Expert+	2.83★	325	0.00001	0.0011		
 ASGORE/Bergentruckung - 	118.64	Expert	2.82★	326	0.00001	0.0011		
 Killing In The Name - 	118.61	Expert	2.9★	327	0.00001	0.0010		
 Rock da Juice - The Dude	118.51	Expert	2.82★	328	0.00001	0.0010		
 Omen - By Jamax	118.42	Expert	2.94★	329	0.00001	0.0010		
 KDV (feat. Shug) - MISSIO	118.23	Expert	2.85★	330	0.00001	0.0009		
 We are Farmers - Dubstep	118.23	Expert	2.92★	331	0.00001	0.0009		
 Surface - 	117.94	Expert	2.84★	332	0.00001	0.0009		
 Music Is My Saviour - S3RL feat Mixie Moon	117.88	Expert	2.88★	333	0.00001	0.0008		
 Outbreak - Mediks	117.81	Expert	2.99★	334	0.00001	0.0008		
 Rise - Skillet	117.67	Expert	2.95★	335	0.00001	0.0008		
 Dont Let Me Down (illenium Remix) - 	117.67	Expert	2.89★	336	0.00001	0.0007		
 Your Affection (Daisuke Asakura Remix) - Persona 4 Dancing All Night	117.59	Expert	2.92★	337	0.00001	0.0007		
 Freestyler - Bomfunk MC	117.52	Expert	2.95★	338	0.00001	0.0007		
 a starlit night - 	117.47	Expert	2.69★	339	0.00001	0.0007		
